SATISFACTION_WITH_FINANCIAL_CONDITION,SPENDING_COMPARISON_TO_INCOME,DIFFICULTY_COVERING_EXPENSES,FIN_ANXIETY,EMERGENCY_FUNDS,CONFIDENCE_GET_2000,CREDIT_RECORD_RATING,CHECKING_ACCOUNT,SAVINGS_ACCOUNT,OVERDRAW_CHECKING_ACCOUNT,REGULAR_CONTRIBUTION_TO_RETIREMENT,OTHER_INVESTMENTS,ALWAYS_PAY_CR_FULL_12MO,USED_PAYDAY_LOAN,DEBT_COLLECTED_12MO,TOO_MUCH_DEBT_STRENGTH,D2D_FINANCIAL_SKILL,FINANCIAL_KNOWLEDGE_ASSESS,RACE_ETHNICITY,EDUCATION_LEVEL,HIGHEST_EDUCATION_OF_RAISERS,NUM_DEPENDENT_CHILDREN,BINARIZED_GENDER,AGE,LAYOFF_PANDEMIC,EXPECT_INHERIT_10K_PLUS,STATE,FIN_ED_HS,Z,FIN_HEALTH
8.0,0.0,9.0,2.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,0.0,9.0,9.0,9.0,9.0,7.5,1,6,5.0,6,2,2,2.0,1.0,41,2.0,1,134.5
3.0,4.5,0.0,1.0,0.0,4.5,9.0,9.0,9.0,9.0,4.5,0.0,4.5,9.0,9.0,9.0,0.0,1.5,1,6,5.0,2,2,2,2.0,2.0,36,2.0,1,86.5
9.0,9.0,9.0,1.0,9.0,9.0,9.0,9.0,9.0,9.0,0.0,9.0,9.0,9.0,9.0,9.0,9.0,7.5,1,6,5.0,5,1,6,2.0,2.0,3,1.0,1,143.5
8.0,9.0,9.0,4.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,0.0,0.0,9.0,9.0,0.0,9.0,6.0,2,2,2.0,2,2,4,2.0,2.0,3,4.0,0,126.0
3.0,0.0,4.5,5.0,0.0,4.5,2.25,0.0,0.0,4.5,4.5,4.5,4.5,9.0,9.0,4.5,7.5,6.0,1,3,2.0,5,2,4,2.0,4.5,36,4.0,0,73.25
0.0,0.0,4.5,7.0,0.0,0.0,4.5,9.0,0.0,9.0,4.5,0.0,0.0,9.0,0.0,0.0,1.5,1.5,1,2,2.0,5,2,4,2.0,1.0,49,4.0,0,50.5
2.0,4.5,9.0,7.0,9.0,6.0,2.25,9.0,9.0,9.0,4.5,9.0,9.0,9.0,0.0,0.0,6.0,3.0,1,6,5.0,6,2,2,1.0,4.5,39,4.0,0,107.25
4.0,0.0,4.5,5.0,0.0,0.0,9.0,9.0,9.0,9.0,0.0,0.0,0.0,9.0,9.0,4.5,6.0,4.5,1,2,2.0,5,2,6,2.0,2.0,10,4.0,0,82.5
1.0,4.5,9.0,7.0,0.0,0.0,4.5,9.0,9.0,9.0,4.5,0.0,0.0,9.0,0.0,0.0,3.0,3.0,1,4,3.0,6,2,2,2.0,2.0,20,2.0,1,72.5
1.0,0.0,4.5,6.0,0.0,0.0,2.25,9.0,0.0,9.0,4.5,0.0,0.0,9.0,9.0,1.5,7.5,7.5,1,2,2.0,5,2,5,1.0,2.0,33,4.0,0,70.75
9.0,9.0,9.0,3.0,9.0,9.0,9.0,9.0,9.0,9.0,0.0,9.0,9.0,9.0,9.0,9.0,6.0,7.5,1,5,4.0,5,1,6,2.0,2.0,10,4.0,0,142.5
3.5,0.0,4.5,3.0,0.0,3.0,2.25,9.0,0.0,9.0,4.5,0.0,4.5,3.0,9.0,4.5,6.0,4.5,1,4,3.0,6,1,3,2.0,2.0,37,4.0,0,70.25
4.0,9.0,4.5,7.0,0.0,6.0,6.75,9.0,9.0,0.0,9.0,0.0,4.5,9.0,9.0,9.0,9.0,9.0,1,6,5.0,5,2,5,2.0,4.5,49,4.0,0,113.75
6.0,4.5,4.5,7.0,9.0,6.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,1.0,0.0,0.0,7.5,7.5,2,5,4.0,5,1,2,1.0,1.0,47,4.0,0,116.0
6.0,0.0,9.0,7.0,4.5,0.0,4.5,9.0,4.5,9.0,4.5,4.5,9.0,9.0,9.0,9.0,9.0,0.0,1,2,2.0,2,2,3,2.0,2.0,10,4.0,0,107.5
9.0,0.0,9.0,1.0,9.0,6.0,9.0,9.0,9.0,9.0,4.5,9.0,9.0,9.0,9.0,9.0,9.0,4.5,1,4,3.0,5,2,6,2.0,2.0,26,4.0,0,133.0
2.0,4.5,0.0,7.0,0.0,3.0,2.25,9.0,0.0,9.0,4.5,0.0,4.5,9.0,9.0,0.0,6.0,6.0,1,3,2.0,6,2,5,2.0,2.0,10,4.0,0,75.75
3.0,4.5,4.5,4.0,0.0,6.0,4.5,9.0,9.0,9.0,4.5,0.0,4.5,9.0,9.0,4.5,4.5,4.5,1,4,3.0,6,1,1,4.5,2.0,13,4.0,0,94.0
0.0,9.0,4.5,7.0,0.0,0.0,6.75,9.0,0.0,9.0,4.5,9.0,4.5,9.0,9.0,9.0,4.5,6.0,1,5,4.0,5,2,5,2.0,1.0,41,4.0,0,100.75
4.0,0.0,4.5,5.0,0.0,0.0,6.75,9.0,9.0,9.0,4.5,9.0,4.5,9.0,9.0,4.5,9.0,9.0,1,4,3.0,6,1,4,2.0,1.0,28,4.0,0,105.75
9.0,0.0,0.0,7.0,0.0,9.0,9.0,9.0,0.0,0.0,0.0,9.0,9.0,1.0,9.0,0.0,9.0,9.0,1,3,2.0,4,2,2,2.0,2.0,1,4.0,0,89.0
2.0,9.0,4.5,6.0,0.0,3.0,4.5,9.0,9.0,0.0,9.0,9.0,0.0,4.5,0.0,0.0,3.0,6.0,1,4,2.0,2,1,4,2.0,2.0,50,4.0,0,78.5
9.0,0.0,9.0,1.0,9.0,9.0,9.0,9.0,9.0,9.0,0.0,0.0,9.0,9.0,9.0,9.0,9.0,9.0,1,5,2.0,5,2,6,2.0,1.0,22,4.0,0,127.0
0.0,9.0,0.0,5.0,0.0,0.0,2.25,9.0,0.0,9.0,4.5,0.0,4.5,9.0,4.5,0.0,7.5,4.5,1,2,1.0,5,2,6,2.0,2.0,33,4.0,0,68.75
2.0,9.0,0.0,6.0,0.0,6.0,9.0,9.0,9.0,9.0,4.5,0.0,9.0,9.0,9.0,3.0,6.0,4.5,2,7,6.0,5,2,5,2.0,2.0,38,4.0,0,104.0
7.0,9.0,9.0,2.0,0.0,9.0,9.0,9.0,9.0,9.0,9.0,0.0,9.0,9.0,9.0,7.5,9.0,7.5,1,6,5.0,5,2,5,2.0,1.0,14,4.0,0,132.0
2.0,4.5,4.5,5.0,9.0,9.0,9.0,9.0,9.0,9.0,0.0,9.0,0.0,9.0,9.0,3.0,7.5,7.5,1,6,5.0,5,2,6,1.0,1.0,21,4.0,0,115.0
9.0,0.0,4.5,1.0,0.0,6.0,6.75,9.0,9.0,9.0,4.5,9.0,9.0,9.0,9.0,0.0,9.0,9.0,1,7,6.0,1,2,3,2.0,1.0,11,4.0,0,112.75
7.0,9.0,9.0,5.0,9.0,6.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,7.5,9.0,6.0,1,6,5.0,5,2,5,2.0,1.0,39,1.0,1,148.5
6.0,9.0,9.0,5.0,9.0,6.0,6.75,9.0,9.0,9.0,4.5,0.0,9.0,9.0,9.0,7.5,9.0,7.5,1,2,2.0,5,2,6,2.0,1.0,49,4.0,0,133.25
9.0,9.0,9.0,1.0,9.0,9.0,9.0,9.0,9.0,9.0,0.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,1,2,2.0,1,1,6,2.0,1.0,34,4.0,0,145.0
5.0,0.0,4.5,5.0,0.0,3.0,9.0,9.0,9.0,0.0,4.5,0.0,0.0,9.0,9.0,4.5,6.0,4.5,1,4,3.0,1,2,5,2.0,1.0,34,4.0,0,82.0
8.0,9.0,9.0,6.0,0.0,6.0,9.0,9.0,0.0,9.0,0.0,0.0,9.0,9.0,9.0,9.0,7.5,6.0,1,4,3.0,6,2,1,2.0,2.0,10,4.0,0,114.5
3.5,4.5,4.5,4.5,4.5,4.5,9.0,9.0,9.0,9.0,4.5,0.0,9.0,9.0,9.0,4.5,4.5,5.25,1,7,6.0,6,2,6,4.5,2.0,44,4.0,0,107.75
2.0,4.5,4.5,6.0,0.0,6.0,6.75,9.0,0.0,9.0,9.0,0.0,0.0,9.0,9.0,0.0,3.0,6.0,2,6,5.0,5,2,6,2.0,2.0,19,2.0,1,83.75
6.0,0.0,9.0,1.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,7.5,9.0,7.5,1,7,5.0,1,2,4,2.0,1.0,21,4.0,0,139.0
6.0,0.0,9.0,5.0,9.0,6.0,9.0,9.0,9.0,9.0,0.0,9.0,9.0,9.0,9.0,7.5,9.0,6.0,1,6,2.0,5,1,6,2.0,1.0,14,4.0,0,129.5
3.0,9.0,4.5,5.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,0.0,0.0,9.0,9.0,3.0,3.0,3.0,1,6,5.0,2,2,4,2.0,1.0,26,1.0,1,111.5
9.0,9.0,9.0,1.0,9.0,9.0,9.0,9.0,9.0,9.0,0.0,9.0,9.0,9.0,9.0,9.0,7.5,7.5,1,5,4.0,6,1,6,2.0,1.0,6,4.0,0,142.0
6.0,4.5,9.0,5.0,9.0,9.0,9.0,9.0,9.0,9.0,0.0,9.0,9.0,9.0,9.0,9.0,9.0,7.5,1,6,6.0,5,1,6,2.0,2.0,44,2.0,1,140.0
7.0,9.0,9.0,6.0,9.0,9.0,9.0,9.0,0.0,9.0,4.5,0.0,9.0,9.0,9.0,9.0,9.0,6.0,1,4,3.0,5,2,6,2.0,1.0,23,4.0,0,131.5
4.0,9.0,4.5,5.0,0.0,0.0,2.25,9.0,9.0,9.0,4.5,0.0,4.5,9.0,9.0,4.5,6.0,3.0,1,4,2.0,1,2,5,2.0,1.0,25,4.0,0,92.25
7.0,4.5,4.5,6.0,4.5,6.0,6.75,9.0,9.0,0.0,4.5,9.0,4.5,3.0,9.0,6.0,3.0,4.5,2,3,2.0,6,1,3,2.0,4.5,26,4.0,0,100.75
6.0,9.0,4.5,5.0,9.0,6.0,9.0,9.0,9.0,9.0,4.5,0.0,0.0,9.0,9.0,3.0,9.0,7.5,1,5,4.0,5,2,5,2.0,4.5,29,4.0,0,117.5
7.0,0.0,4.5,6.0,0.0,4.5,2.25,9.0,0.0,9.0,4.5,0.0,4.5,9.0,0.0,4.5,7.5,6.0,1,3,2.0,6,1,3,2.0,2.0,39,4.0,0,78.25
4.0,9.0,9.0,4.0,9.0,6.0,6.75,9.0,9.0,9.0,0.0,9.0,0.0,9.0,9.0,4.5,9.0,7.5,1,4,3.0,5,1,6,2.0,1.0,34,4.0,0,122.75
0.0,4.5,4.5,5.0,0.0,0.0,4.5,9.0,9.0,9.0,4.5,0.0,0.0,9.0,0.0,0.0,6.0,4.5,1,4,3.0,6,2,5,2.0,2.0,44,4.0,0,69.5
6.0,0.0,9.0,3.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,7.5,2,6,5.0,2,2,3,2.0,2.0,5,4.0,0,142.5
7.0,0.0,9.0,5.0,0.0,6.0,9.0,9.0,9.0,9.0,0.0,0.0,0.0,9.0,9.0,6.0,7.5,7.5,1,4,3.0,5,2,6,2.0,1.0,43,4.0,0,102.0
3.0,0.0,9.0,6.0,0.0,9.0,6.75,9.0,9.0,9.0,9.0,0.0,9.0,9.0,9.0,4.5,6.0,6.0,2,6,5.0,5,2,5,2.0,2.0,44,4.0,0,113.25
